"Activity","Position","X","Y","Z","curtime","curdate"
"Classification Data","Pocket","0.17957062","4.6927786","7.4629545","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-0.19633053","5.106988","11.459","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-0.6057515","5.446975","11.7750435","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-0.37590113","5.106988","8.403905","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-0.41420954","5.150085","6.682421","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","0.19393626","5.1213536","6.7638264","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-0.37829542","4.8986864","8.298556","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-0.81165916","5.3631754","8.600235","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-0.22027329","5.3966956","11.277035","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-1.1420691","4.6688356","8.420665","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","0.38308397","4.3671575","5.6169686","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","1.3791022","4.209135","5.0423427","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","0.80687064","3.440573","7.3169036","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-0.12929083","4.12773","10.190034","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","0.9217958","3.9361877","9.433443","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","1.7717633","2.1404817","3.9577363","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","4.819675","-1.6041641","3.8883023","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","0.16041641","4.393494","10.304958","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-0.019154198","3.3926873","12.129396","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-0.07422252","1.4605076","8.91628","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","2.0878077","0.7541966","6.038361","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","0.0","2.2506182","5.427821","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-2.3966691","3.3950818","8.8636055","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","0.026337024","0.54828894","12.538817","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","0.31365","0.68236834","11.734341","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","3.3232534","0.35914123","7.8723755","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","2.8587642","2.6504622","5.566689","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-0.339987","1.2881198","7.987301","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-2.3463893","0.9601042","10.968173","1614254940","25-02-2021 12:09:00"
"Classification Data","Pocket","-0.45730647","-0.45012367","12.452623","1614254940","25-02-2021 12:09:00"
